pl_name,pl_letter,discoverymethod,disc_year,disc_facility
11 Com b,b,Radial Velocity,2007,Xinglong Station
11 Com b,b,Radial Velocity,2007,Xinglong Station
11 Com b,b,Radial Velocity,2007,Xinglong Station
11 UMi b,b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
11 UMi b,b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
11 UMi b,b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
14 And b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
14 And b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
14 And b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
14 Her b,b,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,b,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,b,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,b,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,b,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,b,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,b,Radial Velocity,2002,W. M. Keck Observatory
14 Her b,b,Radial Velocity,2002,W. M. Keck Observatory
16 Cyg B b,b,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,b,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,b,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,b,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,b,Radial Velocity,1996,Multiple Observatories
16 Cyg B b,b,Radial Velocity,1996,Multiple Observatories
17 Sco b,b,Radial Velocity,2020,Lick Observatory
18 Del b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
18 Del b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
18 Del b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,b,Imaging,2008,Gemini Observatory
1RXS J160929.1-210524 b,b,Imaging,2008,Gemini Observatory
1RXS J160929.1-210524 b,b,Imaging,2008,Gemini Observatory
1RXS J160929.1-210524 b,b,Imaging,2008,Gemini Observatory
24 Boo b,b,Radial Velocity,2018,Okayama Astrophysical Observatory
24 Boo b,b,Radial Velocity,2018,Okayama Astrophysical Observatory
24 Sex b,b,Radial Velocity,2010,Lick Observatory
24 Sex c,c,Radial Velocity,2010,Lick Observatory
2M0437 b,b,Imaging,2021,Subaru Telescope
2MASS J01033563-5515561 AB b,b,Imaging,2013,Paranal Observatory
2MASS J01225093-2439505 b,b,Imaging,2013,W. M. Keck Observatory
2MASS J01225093-2439505 b,b,Imaging,2013,W. M. Keck Observatory
2MASS J02192210-3925225 b,b,Imaging,2015,Cerro Tololo Inter-American Observatory
2MASS J0249-0557 c,c,Imaging,2018,Mauna Kea Observatory
2MASS J03590986+2009361 b,b,Imaging,2024,European Space Agency (ESA) Gaia Satellite
2MASS J04414489+2301513 b,b,Imaging,2010,Hubble Space Telescope
2MASS J11011926-7732383 b,b,Imaging,2024,European Space Agency (ESA) Gaia Satellite
2MASS J11550485-7919108 b,b,Imaging,2024,European Space Agency (ESA) Gaia Satellite
2MASS J12073346-3932539 b,b,Imaging,2004,Paranal Observatory
2MASS J12073346-3932539 b,b,Imaging,2004,Paranal Observatory
2MASS J19383260+4603591 b,b,Eclipse Timing Variations,2015,Kepler
2MASS J19383260+4603591 b,b,Eclipse Timing Variations,2015,Kepler
2MASS J21252752-8138278 b,b,Imaging,2024,European Space Agency (ESA) Gaia Satellite
2MASS J22362452+4751425 b,b,Imaging,2016,W. M. Keck Observatory
30 Ari B b,b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
30 Ari B b,b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
30 Ari B b,b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg
4 UMa b,b,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg
4 UMa b,b,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg
42 Dra b,b,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg
47 UMa b,b,Radial Velocity,1996,Lick Observatory
47 UMa b,b,Radial Velocity,1996,Lick Observatory
47 UMa b,b,Radial Velocity,1996,Lick Observatory
47 UMa b,b,Radial Velocity,1996,Lick Observatory
47 UMa b,b,Radial Velocity,1996,Lick Observatory
47 UMa c,c,Radial Velocity,2001,Lick Observatory
47 UMa c,c,Radial Velocity,2001,Lick Observatory
47 UMa c,c,Radial Velocity,2001,Lick Observatory
47 UMa d,d,Radial Velocity,2009,Lick Observatory
47 UMa d,d,Radial Velocity,2009,Lick Observatory
51 Eri b,b,Imaging,2015,Gemini Observatory
51 Eri b,b,Imaging,2015,Gemini Observatory
51 Eri b,b,Imaging,2015,Gemini Observatory
51 Peg b,b,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,b,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,b,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,b,Radial Velocity,1995,Haute-Provence Observatory
51 Peg b,b,Radial Velocity,1995,Haute-Provence Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc b,b,Radial Velocity,1996,Lick Observatory
55 Cnc c,c,Radial Velocity,2004,McDonald Observatory
55 Cnc c,c,Radial Velocity,2004,McDonald Observatory
55 Cnc c,c,Radial Velocity,2004,McDonald Observatory
55 Cnc c,c,Radial Velocity,2004,McDonald Observatory
55 Cnc c,c,Radial Velocity,2004,McDonald Observatory
55 Cnc c,c,Radial Velocity,2004,McDonald Observatory
55 Cnc c,c,Radial Velocity,2004,McDonald Observatory
55 Cnc c,c,Radial Velocity,2004,McDonald Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc d,d,Radial Velocity,2002,Lick Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc e,e,Radial Velocity,2004,McDonald Observatory
55 Cnc f,f,Radial Velocity,2007,Multiple Observatories
55 Cnc f,f,Radial Velocity,2007,Multiple Observatories
55 Cnc f,f,Radial Velocity,2007,Multiple Observatories
55 Cnc f,f,Radial Velocity,2007,Multiple Observatories
55 Cnc f,f,Radial Velocity,2007,Multiple Observatories
55 Cnc f,f,Radial Velocity,2007,Multiple Observatories
55 Cnc f,f,Radial Velocity,2007,Multiple Observatories
6 Lyn b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
6 Lyn b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
6 Lyn b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
6 Lyn b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
61 Vir b,b,Radial Velocity,2009,Multiple Observatories
61 Vir b,b,Radial Velocity,2009,Multiple Observatories
61 Vir c,c,Radial Velocity,2009,Multiple Observatories
61 Vir c,c,Radial Velocity,2009,Multiple Observatories
61 Vir d,d,Radial Velocity,2009,Multiple Observatories
7 CMa b,b,Radial Velocity,2011,Anglo-Australian Telescope
7 CMa b,b,Radial Velocity,2011,Anglo-Australian Telescope
7 CMa b,b,Radial Velocity,2011,Anglo-Australian Telescope
7 CMa b,b,Radial Velocity,2011,Anglo-Australian Telescope
7 CMa c,c,Radial Velocity,2019,Multiple Observatories
7 CMa c,c,Radial Velocity,2019,Multiple Observatories
70 Vir b,b,Radial Velocity,1996,Lick Observatory
70 Vir b,b,Radial Velocity,1996,Lick Observatory
70 Vir b,b,Radial Velocity,1996,Lick Observatory
70 Vir b,b,Radial Velocity,1996,Lick Observatory
70 Vir b,b,Radial Velocity,1996,Lick Observatory
70 Vir b,b,Radial Velocity,1996,Lick Observatory
75 Cet b,b,Radial Velocity,2012,Okayama Astrophysical Observatory
75 Cet b,b,Radial Velocity,2012,Okayama Astrophysical Observatory
75 Cet c,c,Radial Velocity,2023,Okayama Astrophysical Observatory
8 UMi b,b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory
8 UMi b,b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory
81 Cet b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
81 Cet b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
81 Cet b,b,Radial Velocity,2008,Okayama Astrophysical Observatory
91 Aqr b,b,Radial Velocity,2013,Lick Observatory
AB Aur b,b,Imaging,2022,Subaru Telescope
AB Pic b,b,Imaging,2005,Paranal Observatory
AF Lep b,b,Imaging,2023,Paranal Observatory
AF Lep b,b,Imaging,2023,Paranal Observatory
AF Lep b,b,Imaging,2023,Paranal Observatory
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic b,b,Transit,2020,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
AU Mic c,c,Transit,2021,Transiting Exoplanet Survey Satellite (TESS)
AU Mic d,d,Transit Timing Variations,2023,Multiple Observatories
BD+03 2562 b,b,Radial Velocity,2017,Multiple Observatories
BD+05 4868 A b,b,Transit,2025,Transiting Exoplanet Survey Satellite (TESS)
BD+14 4559 b,b,Radial Velocity,2009,McDonald Observatory
BD+14 4559 b,b,Radial Velocity,2009,McDonald Observatory
BD+15 2375 b,b,Radial Velocity,2016,Roque de los Muchachos Observatory
BD+15 2940 b,b,Radial Velocity,2013,McDonald Observatory
BD+20 2457 b,b,Radial Velocity,2009,McDonald Observatory
BD+20 2457 b,b,Radial Velocity,2009,McDonald Observatory
BD+20 2457 c,c,Radial Velocity,2009,McDonald Observatory
BD+20 274 b,b,Radial Velocity,2012,McDonald Observatory
BD+20 594 b,b,Transit,2016,K2
BD+20 594 b,b,Transit,2016,K2
BD+20 594 b,b,Transit,2016,K2
BD+45 564 b,b,Radial Velocity,2021,Haute-Provence Observatory
BD+48 738 b,b,Radial Velocity,2011,McDonald Observatory
BD+48 740 b,b,Radial Velocity,2018,Multiple Observatories
BD+49 828 b,b,Radial Velocity,2015,McDonald Observatory
BD+55 362 b,b,Radial Velocity,2021,Haute-Provence Observatory
BD+60 1417 b,b,Imaging,2021,Wide-field Infrared Survey Explorer (WISE) Sat
BD+63 1405 b,b,Radial Velocity,2021,Haute-Provence Observatory
BD+63 1405 b,b,Radial Velocity,2021,Haute-Provence Observatory
BD-06 1339 b,b,Radial Velocity,2013,La Silla Observatory
BD-06 1339 c,c,Radial Velocity,2013,La Silla Observatory
BD-08 2823 b,b,Radial Velocity,2009,La Silla Observatory
BD-08 2823 b,b,Radial Velocity,2009,La Silla Observatory
BD-08 2823 c,c,Radial Velocity,2009,La Silla Observatory
BD-10 3166 b,b,Radial Velocity,2000,W. M. Keck Observatory
BD-10 3166 b,b,Radial Velocity,2000,W. M. Keck Observatory
BD-10 3166 b,b,Radial Velocity,2000,W. M. Keck Observatory
BD-10 3166 b,b,Radial Velocity,2000,W. M. Keck Observatory
BD-11 4672 b,b,Radial Velocity,2014,La Silla Observatory
BD-11 4672 b,b,Radial Velocity,2014,La Silla Observatory
BD-11 4672 c,c,Radial Velocity,2020,Roque de los Muchachos Observatory
BD-13 2130 b,b,Radial Velocity,2007,La Silla Observatory
BD-13 2130 b,b,Radial Velocity,2007,La Silla Observatory
BD-14 3065 b,b,Transit,2024,Transiting Exoplanet Survey Satellite (TESS)
BD-14 3065 b,b,Transit,2024,Transiting Exoplanet Survey Satellite (TESS)
BD-17 63 b,b,Radial Velocity,2008,La Silla Observatory
BD-17 63 b,b,Radial Velocity,2008,La Silla Observatory
BD-17 63 b,b,Radial Velocity,2008,La Silla Observatory
BD-17 63 b,b,Radial Velocity,2008,La Silla Observatory
BD-210397 b,b,Radial Velocity,2023,La Silla Observatory
BD-210397 c,c,Radial Velocity,2023,La Silla Observatory
BD-210397 c,c,Radial Velocity,2023,La Silla Observatory
Barnard b,b,Radial Velocity,2024,Paranal Observatory
Barnard b,b,Radial Velocity,2024,Paranal Observatory
Barnard c,c,Radial Velocity,2025,Gemini Observatory
Barnard d,d,Radial Velocity,2025,Gemini Observatory
Barnard e,e,Radial Velocity,2025,Gemini Observatory
CD Cet b,b,Radial Velocity,2020,Calar Alto Observatory
CFBDSIR J145829+101343 b,b,Imaging,2011,W. M. Keck Observatory
CFHTWIR-Oph 98 b,b,Imaging,2021,Hubble Space Telescope
CHXR 73 b,b,Imaging,2006,Hubble Space Telescope
CI Tau c,c,Radial Velocity,2024,Multiple Observatories
COCONUTS-2 b,b,Imaging,2021,NASA Infrared Telescope Facility (IRTF)
COCONUTS-2 b,b,Imaging,2021,NASA Infrared Telescope Facility (IRTF)
CT Cha b,b,Imaging,2007,Paranal Observatory
CoRoT-1 b,b,Transit,2008,CoRoT
CoRoT-1 b,b,Transit,2008,CoRoT
CoRoT-1 b,b,Transit,2008,CoRoT
CoRoT-1 b,b,Transit,2008,CoRoT
CoRoT-1 b,b,Transit,2008,CoRoT
CoRoT-1 b,b,Transit,2008,CoRoT
CoRoT-1 b,b,Transit,2008,CoRoT
CoRoT-10 b,b,Transit,2010,CoRoT
CoRoT-10 b,b,Transit,2010,CoRoT
CoRoT-10 b,b,Transit,2010,CoRoT
CoRoT-10 b,b,Transit,2010,CoRoT
CoRoT-11 b,b,Transit,2010,CoRoT
CoRoT-11 b,b,Transit,2010,CoRoT
CoRoT-11 b,b,Transit,2010,CoRoT
CoRoT-11 b,b,Transit,2010,CoRoT
CoRoT-11 b,b,Transit,2010,CoRoT
CoRoT-11 b,b,Transit,2010,CoRoT
CoRoT-11 b,b,Transit,2010,CoRoT
CoRoT-12 b,b,Transit,2010,CoRoT
CoRoT-12 b,b,Transit,2010,CoRoT
CoRoT-12 b,b,Transit,2010,CoRoT
CoRoT-12 b,b,Transit,2010,CoRoT
CoRoT-12 b,b,Transit,2010,CoRoT
CoRoT-12 b,b,Transit,2010,CoRoT
CoRoT-13 b,b,Transit,2010,CoRoT
CoRoT-13 b,b,Transit,2010,CoRoT
CoRoT-13 b,b,Transit,2010,CoRoT
CoRoT-13 b,b,Transit,2010,CoRoT
CoRoT-13 b,b,Transit,2010,CoRoT
CoRoT-14 b,b,Transit,2010,CoRoT
CoRoT-14 b,b,Transit,2010,CoRoT
CoRoT-14 b,b,Transit,2010,CoRoT
CoRoT-16 b,b,Transit,2011,CoRoT
CoRoT-16 b,b,Transit,2011,CoRoT
CoRoT-17 b,b,Transit,2011,CoRoT
CoRoT-17 b,b,Transit,2011,CoRoT
CoRoT-17 b,b,Transit,2011,CoRoT
CoRoT-18 b,b,Transit,2011,CoRoT
CoRoT-18 b,b,Transit,2011,CoRoT
CoRoT-18 b,b,Transit,2011,CoRoT
CoRoT-18 b,b,Transit,2011,CoRoT
CoRoT-18 b,b,Transit,2011,CoRoT
CoRoT-18 b,b,Transit,2011,CoRoT
CoRoT-19 b,b,Transit,2011,CoRoT
CoRoT-19 b,b,Transit,2011,CoRoT
CoRoT-19 b,b,Transit,2011,CoRoT
CoRoT-19 b,b,Transit,2011,CoRoT
CoRoT-19 b,b,Transit,2011,CoRoT
CoRoT-19 b,b,Transit,2011,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-2 b,b,Transit,2008,CoRoT
CoRoT-20 b,b,Transit,2011,CoRoT
CoRoT-20 b,b,Transit,2011,CoRoT
CoRoT-20 b,b,Transit,2011,CoRoT
CoRoT-20 b,b,Transit,2011,CoRoT
CoRoT-20 b,b,Transit,2011,CoRoT
CoRoT-20 b,b,Transit,2011,CoRoT
CoRoT-20 c,c,Radial Velocity,2018,Multiple Observatories
CoRoT-21 b,b,Transit,2012,CoRoT
CoRoT-21 b,b,Transit,2012,CoRoT
CoRoT-22 b,b,Transit,2014,CoRoT
CoRoT-23 b,b,Transit,2011,CoRoT
CoRoT-23 b,b,Transit,2011,CoRoT
CoRoT-23 b,b,Transit,2011,CoRoT
CoRoT-24 b,b,Transit,2014,CoRoT
CoRoT-24 c,c,Transit,2014,CoRoT
CoRoT-25 b,b,Transit,2013,CoRoT
CoRoT-25 b,b,Transit,2013,CoRoT
CoRoT-26 b,b,Transit,2013,CoRoT
CoRoT-26 b,b,Transit,2013,CoRoT
CoRoT-27 b,b,Transit,2014,CoRoT
CoRoT-27 b,b,Transit,2014,CoRoT
CoRoT-28 b,b,Transit,2015,CoRoT
CoRoT-28 b,b,Transit,2015,CoRoT
CoRoT-29 b,b,Transit,2015,CoRoT
CoRoT-29 b,b,Transit,2015,CoRoT
CoRoT-29 b,b,Transit,2015,CoRoT
CoRoT-3 b,b,Transit,2008,CoRoT
CoRoT-3 b,b,Transit,2008,CoRoT
CoRoT-3 b,b,Transit,2008,CoRoT
CoRoT-3 b,b,Transit,2008,CoRoT
